wallet_address,entity_id,risk_flag,risk_reason,anomaly_score,cluster_label
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_FAN_IN_DST,entity_fan_in_adversary,HIGH,Outlier cluster + high anomaly score,-0.13749833557455693,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_FAN_OUT_SRC,entity_fan_out_adversary,HIGH,Outlier cluster + high anomaly score,-0.1319702502923703,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa032,entity_2,HIGH,Outlier cluster + high anomaly score,0.027114951916213492,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa039,entity_4,MEDIUM,High anomaly score only,-0.0674310853177097,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_0,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,-0.04693772037238264,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_8,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,-0.04232244804796148,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa081,entity_2,MEDIUM,High anomaly score only,-0.03862584484781184,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa087,entity_18,MEDIUM,High anomaly score only,-0.02034406407500433,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_1,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.0,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_7,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.0005265525032910334,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa098,entity_9,MEDIUM,High anomaly score only,0.01219079407205892,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_2,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.021505686445996597,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa073,entity_46,MEDIUM,High anomaly score only,0.024508465513411792,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_4,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.02732051738735175,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_3,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.02734775795546973,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_6,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.027593839386617858,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_5,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.03558988079584724,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa009,entity_12,MEDIUM,High anomaly score only,0.03587780986419886,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa054,entity_18,MEDIUM,High anomaly score only,0.03939066335942909,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa023,entity_14,MEDIUM,High anomaly score only,0.040933375427993246,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa052,entity_44,MEDIUM,High anomaly score only,0.04237514609146098,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa078,entity_5,MEDIUM,High anomaly score only,0.043795632146789276,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_FO_DST_10,entity_fan_out_adversary,MEDIUM,High anomaly score only,0.04601709401854703,3
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa096,entity_23,MEDIUM,High anomaly score only,0.046445773688082004,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa002,entity_6,MEDIUM,High anomaly score only,0.049126071375817815,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa044,entity_21,MEDIUM,High anomaly score only,0.05001076646270264,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa047,entity_13,MEDIUM,High anomaly score only,0.05460141312619693,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa053,entity_1,MEDIUM,High anomaly score only,0.05718150774465186,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa017,entity_20,MEDIUM,High anomaly score only,0.0589560791199053,0
